sname,dname,numtsttakr12,numtsttakr11,pct_erw_bm_12,pct_math_bm_12,pct_erw_bm_11,pct_math_bm_11,imp_erw_bm_12,imp_math_bm_12,imp_erw_bm_11,imp_math_bm_11,tot_imp_erw_bm_12,tot_imp_math_bm_12,tot_imp_erw_bm_11,tot_imp_math_bm_11
Belmont Senior High,Los Angeles Unified,102,174,0.3039,0.1373,0.2414,0.069,0.23527938,0.10629766,0.18689188,0.0534198,24,11,33,9
Canoga Park Senior High,Los Angeles Unified,113,275,0.47790000000000005,0.1593,0.3527,0.1345,0.36999018000000006,0.12333005999999999,0.27306034,0.10412990000000001,42,14,75,29
New Open World Academy K-12,Los Angeles Unified,68,79,0.25,0.0882,0.2785,0.12660000000000002,0.19355,0.06828444,0.21561470000000002,0.09801372000000001,13,5,17,8
Antelope Valley High,Antelope Valley Union High,83,299,0.44580000000000003,0.10840000000000001,0.24080000000000001,0.08360000000000001,0.34513836000000003,0.08392328,0.18642736000000001,0.06472312000000001,29,7,56,19
Paramount High,Paramount Unified,932,1058,0.37770000000000004,0.1985,0.3715,0.1824,0.29241534,0.1536787,0.2876153,0.14121408,273,143,304,149
Tranquillity High,Golden Plains Unified,27,104,0.3704,0.0,0.1827,0.009600000000000001,0.28676368,0.0,0.14144634,0.007432320000000001,8,0,15,1
Buena Vista Continuation High,Chino Valley Unified,79,39,0.07590000000000001,0.0,0.10260000000000001,0.0,0.058761780000000007,0.0,0.07943292,0.0,5,0,3,0
Chino High,Chino Valley Unified,354,383,0.49150000000000005,0.2373,0.49870000000000003,0.2533,0.38051930000000006,0.18371766,0.38609354,0.19610486000000002,135,65,148,75
Esteban Torres East LA Performing Arts Magnet,Los Angeles Unified,31,100,0.3548,0.0323,0.4,0.08,0.27468616,0.025006660000000003,0.30968,0.061936,9,1,31,6
Arroyo Valley High,San Bernardino City Unified,202,554,0.5099,0.2525,0.3773,0.1643,0.39476458000000003,0.1954855,0.29210566000000004,0.12720106,80,39,162,70
Compton High,Compton Unified,65,320,0.3846,0.1385,0.3156,0.1188,0.29775732,0.10722670000000001,0.24433752,0.09197496000000001,19,7,78,29
Saddleback High,Santa Ana Unified,321,97,0.3302,0.2492,0.5052,0.433,0.25564084,0.19293064000000001,0.39112584,0.3352286,82,62,38,33
Silverado High,Victor Valley Union High,114,517,0.5526,0.193,0.35200000000000004,0.10250000000000001,0.42782292,0.14942060000000001,0.27251840000000005,0.07935550000000001,49,17,141,41
Stagg Senior High,Stockton Unified,73,36,0.5205000000000001,0.23290000000000002,0.5556,0.3889,0.4029711000000001,0.18031118000000002,0.43014552,0.30108638000000004,29,13,15,11
Farmersville High,Farmersville Unified,60,60,0.35000000000000003,0.1,0.4167,0.0833,0.27097000000000004,0.07742,0.32260914,0.06449086,16,5,19,4
Hueneme High,Oxnard Union High,402,365,0.29100000000000004,0.1816,0.38630000000000003,0.1726,0.22529220000000003,0.14059472,0.29907346,0.13362692,91,57,109,49
Hiram W. Johnson High,Sacramento City Unified,55,314,0.4727,0.2909,0.3376,0.1401,0.36596434,0.22521478,0.26136992000000003,0.10846542,20,12,82,34
Don Antonio Lugo High,Chino Valley Unified,282,295,0.5284,0.2872,0.5627,0.2373,0.40908728,0.22235024,0.43564233999999996,0.18371766,115,63,129,54
Rancho Verde High,Val Verde Unified,471,478,0.47350000000000003,0.2144,0.4958,0.23220000000000002,0.3665837,0.16598848,0.38384836,0.17976924000000002,173,78,183,86
Los Angeles Academy of Arts and Enterprise,Los Angeles Unified,36,30,0.2222,0.19440000000000002,0.16670000000000001,0.1333,0.17202724,0.15050448000000002,0.12905914000000002,0.10320086,6,5,4,3
Rancho Dominguez Preparatory,Los Angeles Unified,40,131,0.4,0.225,0.3511,0.1603,0.30968,0.17419500000000002,0.27182162000000004,0.12410426,12,7,36,16
Animo College Preparatory Academy,Los Angeles Unified,52,60,0.28850000000000003,0.15380000000000002,0.25,0.06670000000000001,0.22335670000000002,0.11907196000000002,0.19355,0.05163914000000001,12,6,12,3
Indio High,Desert Sands Unified,174,377,0.4713,0.1322,0.3952,0.1406,0.36488046,0.10234924000000001,0.30596384,0.10885252000000001,63,18,115,41
TEACH Tech Charter High,Los Angeles Unified,46,54,0.2174,0.1522,0.25930000000000003,0.037000000000000005,0.16831108,0.11783324,0.20075006000000004,0.028645400000000005,8,5,11,2
Luis Valdez Leadership Academy,East Side Union High,34,51,0.2353,0.0882,0.5098,0.3725,0.18216926,0.06828444,0.39468716000000004,0.2883895,6,2,20,15
Jordan High,Long Beach Unified,463,486,0.2441,0.11230000000000001,0.2737,0.12140000000000001,0.18898222,0.08694266,0.21189854,0.09398788000000001,87,40,103,46
