CDS,CCode,CDCode,SCode,RType,SName,DName,CName,Enroll12,NumTSTTakr12,NumERWBenchmark12,PctERWBenchmark12,NumMathBenchmark12,PctMathBenchmark12,Enroll11,NumTSTTakr11,NumERWBenchmark11,PctERWBenchmark11,NumMathBenchmark11,PctMathBenchmark11,TotNumBothBenchmark12,PctBothBenchmark12,TotNumBothBenchmark11,PctBothBenchmark11,Year
1.96473E+13,19,1964725,1930411,S,Avalon K-12,Long Beach Unified,Los Angeles,39,18,15,83.33,7,38.89,36,0,N/A,N/A,N/A,N/A,7,38.89,N/A,N/A,2019-20
3.01031E+13,30,3010306,133959,S,Unity Middle College High,Orange County Department of Education,Orange,24,5,*,*,*,*,26,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
3.36721E+13,33,3367207,3335973,S,Perris High,Perris Union High,Riverside,431,122,54,44.26,23,18.85,596,3,*,*,*,*,20,16.39,*,*,2019-20
3.36722E+13,33,3367215,3334406,S,John W. North High,Riverside Unified,Riverside,519,202,123,60.89,75,37.13,566,18,17,94.44,14,77.78,70,34.65,14,77.78,2019-20
3.96863E+13,39,3968627,129916,S,Valley View Charter Prep,New Jerusalem Elementary,San Joaquin,23,6,*,*,*,*,24,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
3.96863E+13,39,3968627,6119309,S,Delta Charter,New Jerusalem Elementary,San Joaquin,89,6,*,*,*,*,94,0,N/A,N/A,N/A,N/A,*,*,N/A,N/A,2019-20
4.87054E+13,48,4870540,125310,S,Public Safety Academy,Fairfield-Suisun Unified,Solano,54,22,18,81.82,12,54.55,59,2,*,*,*,*,12,54.55,*,*,2019-20
1.96473E+13,19,1964733,122333,S,"Math, Science, & Technology Magnet Academy at Roosevelt High",Los Angeles Unified,Los Angeles,136,81,54,66.67,33,40.74,138,111,67,60.36,48,43.24,30,37.04,45,40.54,2019-20
3.06646E+13,30,3066464,3030210,S,Capistrano Valley High,Capistrano Unified,Orange,550,120,108,90,84,70,485,67,65,97.01,64,95.52,82,68.33,63,94.03,2019-20
3.37519E+13,33,3375192,3330370,S,Temecula Valley High,Temecula Valley Unified,Riverside,705,274,223,81.39,157,57.3,737,61,59,96.72,55,90.16,151,55.11,55,90.16,2019-20
4.06881E+13,40,4068809,4036703,S,San Luis Obispo High,San Luis Coastal Unified,San Luis Obispo,376,154,138,89.61,125,81.17,377,40,40,100,37,92.5,123,79.87,37,92.5,2019-20
4.97061E+13,49,4970607,4930400,S,Analy High,West Sonoma County Union High,Sonoma,253,55,45,81.82,34,61.82,297,4,*,*,*,*,32,58.18,*,*,2019-20
4.10041E+12,4,410041,430090,S,Hearthstone,Butte County Office of Education,Butte,31,0,N/A,N/A,N/A,N/A,27,0,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,2019-20
1.56341E+13,15,1563412,100529,S,Cesar E. Chavez High,Delano Joint Union High,Kern,363,123,58,47.15,42,34.15,406,18,14,77.78,11,61.11,34,27.64,11,61.11,2019-20
1.96498E+13,19,1964980,1995737,S,Malibu High,Santa Monica-Malibu Unified,Los Angeles,147,104,88,84.62,58,55.77,148,18,18,100,18,100,56,53.85,18,100,2019-20
3.06651E+13,30,3066514,3037496,S,Troy High,Fullerton Joint Union High,Orange,635,325,309,95.08,295,90.77,646,229,227,99.13,228,99.56,291,89.54,227,99.13,2019-20
